departamento,Serológica,Antígena,Quimioluminiscencia
AMAZONAS,162774,61672,179
ANCASH,471849,379319,1444
APURIMAC,218761,105809,260
AREQUIPA,1596246,769923,31764
AYACUCHO,202281,101338,177
CAJAMARCA,432695,390513,4538
CALLAO,670657,324306,6006
CUSCO,681574,421433,1634
HUANCAVELICA,145836,84587,473
HUANUCO,244461,129633,1098
ICA,548173,265538,5540
JUNIN,595726,517967,5080
LA LIBERTAD,692773,434955,17274
LAMBAYEQUE,406511,202964,4017
LIMA,7902469,4774671,110058
LORETO,223195,121086,201
MADRE DE DIOS,96975,20986,85
MOQUEGUA,295304,118918,5375
PASCO,173670,220064,1356
PIURA,603056,407592,3111
PUNO,407660,193599,10919
SAN MARTIN,237761,97498,1468
TACNA,283252,121063,2176
TUMBES,73911,47334,135
UCAYALI,154768,64388,95
