provincia,Serológica,Antígena,Quimioluminiscencia
ABANCAY,89368,38246,82
ACOBAMBA,14054,5559,21
ACOMAYO,6718,3136,6
AIJA,3706,2754,1
ALTO AMAZONAS,25055,11969,34
AMBO,12765,11370,80
ANDAHUAYLAS,60233,24398,42
ANGARAES,24205,18212,55
ANTA,19123,9690,33
ANTABAMBA,8042,3221,14
ANTONIO RAYMONDI,1077,997,1
AREQUIPA,1393056,667787,30412
ASCOPE,30429,12878,245
ASUNCION,2163,1799,0
ATALAYA,13633,1859,1
AYABACA,12077,8085,14
AYMARAES,11014,4976,9
AZANGARO,23498,12695,594
BAGUA,46610,14257,24
BARRANCA,60525,36199,153
BELLAVISTA,7290,3505,1
BOLIVAR,2009,1158,3
BOLOGNESI,7956,6227,7
BONGARA,7074,4019,11
CAJABAMBA,17778,16571,1026
CAJAMARCA,230464,273173,2633
CAJATAMBO,1370,934,7
CALCA,16797,10121,23
CALLAO,670657,324306,6006
CAMANA,31866,14644,312
CANAS,6106,5153,18
CANCHIS,34702,24505,81
CANDARAVE,2365,869,3
CANGALLO,6545,3887,7
CANTA,4992,3105,9
CARABAYA,17386,11676,260
CARAVELI,19420,10330,49
CARHUAZ,11441,6645,8
CARLOS FERMIN FITZCARRALD,2622,1369,5
CASMA,11425,9995,62
CASTILLA,25573,16383,115
CASTROVIRREYNA,3933,1514,4
CAYLLOMA,60028,30678,510
CAÑETE,134787,83278,1261
CELENDIN,9343,5777,37
CHACHAPOYAS,45409,16196,65
CHANCHAMAYO,51142,39563,138
CHEPEN,16275,10788,74
CHICLAYO,304023,161657,3474
CHINCHA,105086,57978,554
CHINCHEROS,11589,6828,6
CHOTA,30094,15691,83
CHUCUITO,8222,8527,78
CHUMBIVILCAS,13989,14437,59
CHUPACA,28225,24836,216
CHURCAMPA,10430,5091,4
CONCEPCION,19524,18199,192
CONDESUYOS,14086,8356,61
CONDORCANQUI,13965,5052,2
CONTRALMIRANTE VILLAR,3563,2559,6
CONTUMAZA,4965,4102,41
CORONEL PORTILLO,122964,56647,87
CORONGO,1169,709,0
COTABAMBAS,30424,25598,107
CUSCO,402613,232579,997
CUTERVO,21389,8311,48
DANIEL ALCIDES CARRION,11771,8264,126
DATEM DEL MARAÑON,18304,3071,2
DOS DE MAYO,7275,2715,3
EL COLLAO,10207,5575,130
EL DORADO,10212,2211,11
ESPINAR,37190,44140,226
FERREÑAFE,26598,10956,121
GENERAL SANCHEZ CERRO,13062,4872,67
GRAN CHIMU,6514,2819,29
GRAU,8091,2542,0
HUACAYBAMBA,3367,1221,0
HUALGAYOC,16818,18049,53
HUALLAGA,10333,3462,5
HUAMALIES,12356,4756,5
HUAMANGA,102999,43199,129
HUANCA SANCOS,2036,1089,0
HUANCABAMBA,6669,5174,9
HUANCANE,8989,4953,118
HUANCAVELICA,61872,37024,329
HUANCAYO,322726,291525,3208
HUANTA,24031,11459,10
HUANUCO,130313,71000,356
HUARAL,82638,62149,335
HUARAZ,112043,83402,309
HUARI,15663,11996,21
HUARMEY,17248,10023,20
HUAROCHIRI,33366,33366,400
HUAURA,90723,72872,426
HUAYLAS,18009,16264,9
HUAYTARA,7049,3420,17
ICA,235170,112021,1045
ILO,123482,60842,2270
ISLAY,47728,19651,292
JAEN,57312,18945,463
JAUJA,30938,28011,265
JORGE BASADRE,21088,14673,508
JULCAN,2115,1832,12
JUNIN,10841,22810,135
LA CONVENCION,81884,41116,76
LA MAR,17507,8668,4
LA UNION,4489,2094,13
LAMAS,11316,4847,20
LAMBAYEQUE,75890,30351,422
LAMPA,10584,8519,179
LAURICOCHA,7918,3138,450
LEONCIO PRADO,36683,19099,38
LIMA,7478452,4470580,107318
LORETO,16777,8253,5
LUCANAS,18162,8519,5
LUYA,10433,4187,7
MANU,9625,1339,2
MARAÑON,4625,1295,3
MARISCAL CACERES,10419,6303,13
MARISCAL LUZURIAGA,4031,1608,8
MARISCAL NIETO,158760,53204,3038
MARISCAL RAMON CASTILLA,10369,4410,4
MAYNAS,133673,85463,155
MELGAR,57463,11213,2962
MOHO,2426,1111,38
MORROPON,22477,11648,28
