id_ubigeo_prueba,Serológica,Antígena,Quimioluminiscencia
010101,39265,13480,59
010102,77,13,0
010103,777,175,0
010104,259,33,0
010105,106,12,0
010106,174,61,0
010107,45,19,0
010108,380,78,1
010109,1244,482,0
010110,1108,712,0
010111,191,32,0
010112,536,125,5
010113,181,88,0
010114,375,240,0
010115,153,144,0
010116,52,18,0
010117,102,39,0
010118,93,36,0
010119,92,22,0
010120,156,48,0
010121,43,8,0
010201,13551,7110,13
010202,16920,1414,2
010203,1153,1004,0
010204,622,181,0
010205,9134,2422,2
010206,5230,1773,7
010301,736,537,1
010302,48,21,0
010303,265,70,0
010304,84,25,1
010305,108,20,0
010306,1144,678,0
010307,3490,1593,7
010308,43,6,0
010309,54,12,0
010310,309,686,0
010311,213,131,1
010312,580,194,1
010401,9305,3829,2
010402,2191,460,0
010403,2469,677,0
010501,1626,534,1
010502,243,181,0
010503,279,105,0
010504,409,119,0
010505,223,31,0
010506,35,14,0
010507,194,42,0
010508,61,35,0
010509,1465,309,1
010510,138,10,0
010511,273,166,2
010512,1462,850,1
010513,779,531,0
010514,991,346,0
010515,230,118,0
010516,75,8,0
010517,234,79,0
010518,138,14,0
010519,23,8,0
010520,197,65,0
010521,177,234,0
010522,1042,329,2
010523,139,24,0
010601,3126,2232,4
010602,606,459,0
010603,114,65,0
010604,565,620,0
010605,180,169,0
010606,392,207,0
010607,521,322,1
010608,108,83,0
010609,1021,712,0
010610,174,58,0
010611,82,52,0
010612,31,6,0
010701,23585,8949,47
010702,3363,1428,6
010703,793,175,2
010704,1725,789,1
010705,1230,544,8
010706,1476,428,1
010707,191,173,0
020101,70055,53928,158
020102,136,264,0
020103,65,58,0
020104,184,188,1
020105,35190,20994,120
020106,1834,2217,4
020107,351,147,1
020108,506,194,0
020109,175,43,0
020110,596,1239,3
020111,1601,533,0
020112,1350,1487,22
020201,2194,1605,1
020202,315,346,0
020203,113,92,0
020204,920,515,0
020205,164,160,0
020301,577,723,1
020302,258,78,0
020303,18,30,0
020304,90,83,0
020305,120,32,0
020306,14,43,0
020401,1850,1425,0
020402,313,287,0
020501,1929,1201,4
020502,160,44,0
020503,356,197,0
020504,278,407,0
020505,687,420,0
020506,64,8,0
020507,892,742,0
020508,2818,2606,2
020509,251,150,1
020510,159,73,0
020511,34,6,0
020512,9,32,0
020513,111,165,0
020514,112,49,0
020515,96,39,0
020601,5151,2183,5
020602,914,495,0
020603,68,55,0
020604,461,481,0
020605,172,112,0
020606,2395,1655,1
020607,253,258,0
020608,215,173,0
020609,581,286,0
020610,635,291,0
020611,596,536,2
020701,1918,819,5
020702,425,117,0
020703,279,366,0
020801,9209,7799,58
020802,705,728,3
020803,240,181,0
020804,1271,1139,1
020901,500,268,0
020902,63,15,0
020903,42,26,0
020904,264,187,0
020905,144,159,0
020906,70,36,0
020907,86,11,0
021001,5600,4010,7
021002,563,172,1
021003,426,560,0
021004,1446,892,3
021005,93,89,0
021006,177,198,0
021007,514,360,0
021008,166,86,0
021009,333,174,0
021010,278,118,1
021011,81,49,0
021012,322,149,0
021013,116,29,0
021014,4751,4135,9
021015,341,263,0
021016,456,608,0
021101,15595,9086,20
021102,44,30,0
021103,1452,456,0
021104,121,53,0
021105,36,252,0
021201,11334,10690,7
021202,392,398,0
021203,249,301,0
021204,587,602,0
021205,693,567,2
021206,1500,1216,0
021207,1847,603,0
021208,474,555,0
021209,268,356,0
021210,665,372,0
021301,1351,404,7
021302,538,577,0
021303,134,11,0
021304,239,37,0
021305,750,48,0
021306,500,160,1
021307,342,328,0
021308,177,20,0
021401,608,270,0
021402,155,48,0
021403,18,5,0
021404,289,132,0
021405,88,33,0
021406,117,12,0
021407,70,54,0
021408,11,15,0
021409,124,16,0
021410,129,28,0
021501,743,1861,0
021502,95,204,0
021503,681,1179,4
021504,25,29,0
021505,59,283,0
021506,26,23,0
021507,25,57,0
021508,665,1082,9
021509,315,252,1
021510,45,64,0
021511,219,845,0
021601,6747,8414,8
021602,881,921,0
021603,1488,1139,1
021604,415,570,1
021701,2738,2157,17
021702,1711,1414,0
021703,77,70,0
021704,102,104,0
021705,195,80,0
021706,164,166,0
021707,208,104,0
021708,217,108,0
021709,133,38,0
021710,1249,939,1
021801,130246,106011,585
021802,746,418,1
021803,8674,5853,16
021804,259,183,0
021805,1540,1397,16
021806,4278,1904,1
021807,1832,853,2
021808,8438,6669,16
021809,70664,59181,303
021901,3435,3706,1
021902,174,201,0
021903,154,209,0
021904,204,271,0
021905,204,331,0
021906,883,713,0
021907,602,1484,0
021908,247,510,0
021909,1278,938,2
021910,104,326,1
022001,4673,4602,7
022002,116,116,0
022003,1086,1160,0
022004,98,169,0
022005,1165,438,0
022006,561,467,0
022007,182,332,0
022008,621,608,0
030101,67375,24610,61
030102,406,149,0
030103,380,113,0
030104,8975,7727,7
030105,1074,467,0
030106,1753,1010,0
030107,614,217,1
030108,1300,769,1
030109,7491,2715,12
030201,28455,11246,20
030202,1481,463,1
030203,203,34,0
030204,2521,683,0
030205,968,534,2
030206,82,18,0
030207,1183,379,3
030208,1226,494,0
030209,1832,856,0
030210,1242,433,2
030211,128,21,0
030212,325,222,0
030213,7823,3031,8
030214,282,99,0
030215,2467,903,0
030216,7887,3808,5
030217,455,158,0
030218,645,291,1
030219,162,109,0
030220,866,330,0
030301,3240,1542,7
030302,201,107,1
030303,1722,350,0
030304,1371,586,1
030305,490,174,5
030306,666,280,0
030307,352,114,0
030401,4928,2225,4
030402,124,67,0
030403,215,89,1
030404,1529,591,1
030405,179,77,1
030406,831,584,1
030407,169,71,0
030408,133,31,0
030409,399,176,0
030410,191,47,0
030411,125,61,0
030412,292,85,0
030413,106,60,0
030414,709,338,1
030415,693,242,0
030416,199,99,0
030417,192,74,0
030501,4515,3395,4
030502,1362,848,0
030503,2466,1700,1
030504,4929,3015,38
030505,2228,1627,1
030506,14924,14460,63
030601,3418,2043,3
030602,2313,1391,0
030603,578,140,0
